subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (24).jpg,0.7563012441937973,0.8434632462371146,0.9748263888888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.7235362442685498,0.8154547355249009,0.9704047309027778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (1).jpg,0.5621905181180588,0.717236126627233,0.7286241319444444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (2).jpg,0.6359274068385204,0.7768100095977073,0.7803276909722222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (3).jpg,0.6929995997330654,0.8182815968091369,0.8207736545138888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (4).jpg,0.5951751518699566,0.7452074813546257,0.7501898871527778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (5).jpg,0.6764016459846874,0.803672314556017,0.8237575954861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (1).jpg,0.7212558919918846,0.8373524866523916,0.8423936631944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (2).jpg,0.7642191801797398,0.8662824577073965,0.8668891059027778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (3).jpg,0.6589173034542442,0.7920508769996286,0.8056640625,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (4).jpg,0.7380598964484919,0.8490061327717817,0.8511827256944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (5).jpg,0.6637909834836759,0.7969218952539714,0.8028700086805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
